client_id,variation,first_start_time,completion_confirm_time,calendar_completion_time_sec,active_completion_time_sec
3638107,Control,2017-03-29 15:44:43+00:00,2017-03-29 15:50:48+00:00,365,365
391025,Control,2017-04-13 13:24:07+00:00,2017-04-13 13:26:21+00:00,134,134
3036660,Control,2017-04-07 16:02:34+00:00,2017-04-08 18:24:28+00:00,94914,814
452583,Control,2017-04-01 18:10:47+00:00,2017-04-01 18:15:25+00:00,278,278
7474517,Control,2017-03-31 16:23:10+00:00,2017-03-31 16:29:54+00:00,404,404
2889049,Control,2017-03-30 17:06:28+00:00,2017-04-16 11:28:38+00:00,1448530,3235
8076294,Control,2017-04-09 15:06:42+00:00,2017-04-12 11:57:04+00:00,247822,227
1884538,Control,2017-03-31 07:00:42+00:00,2017-03-31 07:03:09+00:00,147,147
841242,Control,2017-04-01 16:48:59+00:00,2017-04-01 16:54:20+00:00,321,321
617840,Control,2017-04-22 08:03:29+00:00,2017-04-22 08:12:08+00:00,519,519
1929698,Control,2017-04-22 00:48:25+00:00,2017-04-22 00:51:09+00:00,164,164
8424645,Control,2017-04-09 20:42:09+00:00,2017-05-10 21:37:54+00:00,2681745,695
3081313,Control,2017-04-08 15:01:49+00:00,2017-06-03 13:42:12+00:00,4833623,221
2852997,Control,2017-04-05 15:16:41+00:00,2017-04-19 12:10:03+00:00,1198402,146
9888375,Control,2017-04-06 14:34:56+00:00,2017-04-06 14:40:03+00:00,307,307
1970830,Control,2017-03-29 22:48:02+00:00,2017-04-13 06:44:22+00:00,1238180,178
1788838,Control,2017-03-30 11:00:59+00:00,2017-03-30 11:04:24+00:00,205,205
9997114,Control,2017-04-14 20:16:33+00:00,2017-04-14 20:21:31+00:00,298,298
1064690,Control,2017-03-24 21:33:32+00:00,2017-03-25 10:15:02+00:00,45690,614
2038707,Control,2017-04-08 15:32:09+00:00,2017-04-08 15:43:54+00:00,705,705
2289897,Control,2017-04-07 20:24:58+00:00,2017-05-14 13:19:25+00:00,3171267,0
6960009,Control,2017-04-04 11:10:34+00:00,2017-04-04 11:17:28+00:00,414,414
2057773,Control,2017-04-05 16:05:08+00:00,2017-04-05 16:07:20+00:00,132,132
860745,Control,2017-04-05 17:42:31+00:00,2017-04-19 17:06:28+00:00,1207437,2572
3369137,Control,2017-04-05 08:06:34+00:00,2017-04-05 08:11:46+00:00,312,312
7479054,Control,2017-04-09 20:42:16+00:00,2017-04-09 21:12:21+00:00,1805,1216
4384098,Control,2017-03-29 16:26:21+00:00,2017-03-29 16:30:13+00:00,232,232
9378146,Control,2017-04-15 14:39:50+00:00,2017-04-15 14:42:59+00:00,189,189
588240,Control,2017-04-05 16:17:37+00:00,2017-04-05 16:52:34+00:00,2097,2097
7699381,Control,2017-04-05 15:47:33+00:00,2017-04-05 15:55:19+00:00,466,466
7046133,Control,2017-03-29 12:02:17+00:00,2017-03-29 12:07:10+00:00,293,293
6456062,Control,2017-04-06 11:37:26+00:00,2017-04-06 11:43:11+00:00,345,345
7873338,Control,2017-03-29 22:53:35+00:00,2017-03-29 23:00:00+00:00,385,385
6597561,Control,2017-04-08 15:51:09+00:00,2017-04-08 15:55:25+00:00,256,256
7973780,Control,2017-04-05 13:27:55+00:00,2017-06-04 19:36:37+00:00,5206122,120
5119497,Control,2017-04-05 13:11:13+00:00,2017-04-05 13:22:43+00:00,690,690
3155140,Control,2017-04-10 14:22:50+00:00,2017-04-10 14:25:29+00:00,159,159
4827059,Control,2017-04-04 22:32:10+00:00,2017-04-04 22:35:48+00:00,218,218
9059531,Control,2017-04-02 08:16:10+00:00,2017-04-02 08:21:34+00:00,324,324
6224299,Control,2017-04-09 21:10:42+00:00,2017-04-09 21:14:12+00:00,210,210
3217890,Control,2017-04-09 09:42:44+00:00,2017-04-09 09:49:42+00:00,418,418
9403921,Control,2017-03-29 22:15:22+00:00,2017-03-29 22:25:50+00:00,628,628
372523,Control,2017-04-26 10:11:41+00:00,2017-04-27 10:56:34+00:00,89093,457
7087847,Control,2017-04-08 16:50:19+00:00,2017-04-08 16:54:44+00:00,265,265
5417457,Control,2017-04-03 17:14:11+00:00,2017-05-17 09:15:49+00:00,3772898,178
7441896,Control,2017-04-04 13:50:30+00:00,2017-04-04 13:55:26+00:00,296,296
4101033,Control,2017-03-29 12:35:05+00:00,2017-03-29 12:38:20+00:00,195,195
1180583,Control,2017-04-04 16:31:18+00:00,2017-05-30 11:28:12+00:00,4820214,1007
413157,Control,2017-03-31 17:13:25+00:00,2017-04-12 22:29:13+00:00,1055748,444
7448926,Control,2017-04-18 14:43:19+00:00,2017-04-18 14:51:59+00:00,520,520
2657900,Control,2017-04-26 20:03:43+00:00,2017-04-26 20:06:49+00:00,186,186
3413971,Control,2017-04-07 11:29:33+00:00,2017-04-07 11:32:45+00:00,192,192
2262795,Control,2017-04-01 18:01:49+00:00,2017-04-01 18:04:28+00:00,159,159
8825647,Control,2017-04-05 17:10:47+00:00,2017-04-05 17:13:43+00:00,176,176
3498908,Control,2017-04-06 06:16:02+00:00,2017-04-06 06:20:47+00:00,285,285
4630285,Control,2017-04-19 11:15:52+00:00,2017-04-19 11:31:46+00:00,954,954
7787684,Control,2017-04-19 15:35:48+00:00,2017-04-19 15:44:19+00:00,511,511
3584819,Control,2017-04-08 13:07:07+00:00,2017-04-08 13:13:25+00:00,378,378
2333006,Control,2017-04-05 11:09:17+00:00,2017-04-05 11:14:21+00:00,304,304
9635244,Control,2017-04-13 21:31:21+00:00,2017-04-13 21:34:35+00:00,194,194
4239711,Control,2017-04-09 08:33:42+00:00,2017-05-22 09:45:47+00:00,3719525,147
5176958,Control,2017-04-21 11:54:26+00:00,2017-06-08 21:23:15+00:00,4181329,103
1651697,Control,2017-04-03 18:08:11+00:00,2017-04-03 18:12:24+00:00,253,253
9103724,Control,2017-04-05 14:40:54+00:00,2017-04-05 14:49:42+00:00,528,528
7873226,Control,2017-04-10 10:20:46+00:00,2017-04-10 10:29:10+00:00,504,504
323950,Control,2017-03-29 11:53:25+00:00,2017-03-29 11:55:53+00:00,148,148
6781849,Control,2017-04-05 19:55:01+00:00,2017-04-05 19:59:33+00:00,272,131
4036374,Control,2017-03-29 20:44:42+00:00,2017-03-29 20:46:18+00:00,96,96
8750191,Control,2017-04-19 20:01:15+00:00,2017-04-19 20:03:38+00:00,143,143
3011265,Control,2017-04-07 16:06:07+00:00,2017-04-07 16:11:24+00:00,317,317
1314809,Control,2017-04-29 01:25:07+00:00,2017-04-29 01:30:34+00:00,327,327
7375067,Control,2017-04-27 09:53:00+00:00,2017-05-01 00:51:27+00:00,313107,413
2617114,Control,2017-04-05 11:17:04+00:00,2017-04-05 11:24:57+00:00,473,473
3436975,Control,2017-04-12 11:55:38+00:00,2017-04-12 11:58:13+00:00,155,155
3695514,Control,2017-04-22 11:24:39+00:00,2017-04-22 11:32:43+00:00,484,234
1192384,Control,2017-04-05 13:43:35+00:00,2017-04-24 10:43:17+00:00,1630782,488
512833,Control,2017-04-21 21:04:44+00:00,2017-05-21 07:36:41+00:00,2543517,141
9089805,Control,2017-04-04 18:16:25+00:00,2017-04-13 17:16:11+00:00,773986,877
2888193,Control,2017-03-29 12:50:41+00:00,2017-03-29 13:01:31+00:00,650,650
4778460,Control,2017-03-29 15:13:13+00:00,2017-03-29 15:15:50+00:00,157,157
4390568,Control,2017-04-09 12:12:36+00:00,2017-04-09 13:29:22+00:00,4606,1068
8337830,Control,2017-04-13 20:06:34+00:00,2017-04-13 20:15:46+00:00,552,552
3045158,Control,2017-04-05 12:17:23+00:00,2017-04-05 12:32:39+00:00,916,916
7258442,Control,2017-04-06 14:29:20+00:00,2017-04-06 14:35:55+00:00,395,395
1486118,Control,2017-04-08 15:52:22+00:00,2017-04-08 15:58:06+00:00,344,344
7037852,Control,2017-04-19 11:15:41+00:00,2017-04-19 11:24:34+00:00,533,533
6767637,Control,2017-04-07 15:11:42+00:00,2017-04-07 16:16:01+00:00,3859,3859
8930597,Control,2017-03-29 11:18:45+00:00,2017-03-29 11:20:59+00:00,134,134
1892008,Control,2017-03-29 18:59:09+00:00,2017-03-29 19:06:58+00:00,469,469
9842475,Control,2017-03-29 17:31:04+00:00,2017-03-29 17:33:00+00:00,116,116
4343885,Control,2017-03-29 11:46:07+00:00,2017-03-29 11:51:16+00:00,309,309
9231655,Control,2017-04-05 13:48:13+00:00,2017-04-05 13:56:00+00:00,467,467
1432979,Control,2017-04-05 18:58:36+00:00,2017-04-05 19:08:47+00:00,611,611
3671491,Control,2017-04-05 19:24:19+00:00,2017-04-05 19:32:41+00:00,502,502
9513138,Control,2017-03-29 13:35:10+00:00,2017-03-29 13:38:27+00:00,197,197
2681612,Control,2017-04-09 14:19:04+00:00,2017-04-09 14:24:00+00:00,296,296
851930,Control,2017-04-13 10:14:36+00:00,2017-04-13 10:19:43+00:00,307,307
209511,Control,2017-04-10 01:46:41+00:00,2017-04-10 02:00:42+00:00,841,841
741785,Control,2017-04-06 09:13:02+00:00,2017-04-06 09:16:23+00:00,201,201
6833110,Control,2017-04-13 16:06:35+00:00,2017-04-13 16:18:12+00:00,697,697
2855888,Control,2017-04-14 10:47:44+00:00,2017-06-07 20:07:16+00:00,4699172,1159
1344819,Control,2017-03-31 11:16:51+00:00,2017-03-31 11:36:37+00:00,1186,1186
8852099,Control,2017-03-31 09:42:28+00:00,2017-04-01 17:51:27+00:00,115739,179
2963107,Control,2017-03-31 15:00:44+00:00,2017-03-31 15:08:42+00:00,478,478
9641810,Control,2017-04-12 14:46:30+00:00,2017-04-12 15:01:19+00:00,889,889
6332820,Control,2017-04-12 16:55:53+00:00,2017-04-12 16:57:24+00:00,91,91
7878552,Control,2017-04-06 20:25:50+00:00,2017-04-08 10:10:31+00:00,135881,1383
1696504,Control,2017-04-26 10:00:17+00:00,2017-04-26 10:02:23+00:00,126,126
3982600,Control,2017-03-29 22:20:21+00:00,2017-03-29 22:29:44+00:00,563,563
3387907,Control,2017-03-22 14:49:24+00:00,2017-03-22 14:55:07+00:00,343,343
4857096,Control,2017-04-09 16:28:58+00:00,2017-04-09 16:34:23+00:00,325,325
5240348,Control,2017-04-13 09:35:14+00:00,2017-04-13 09:36:09+00:00,55,55
3421393,Control,2017-04-05 08:43:24+00:00,2017-04-05 08:46:18+00:00,174,174
6740819,Control,2017-03-28 19:20:23+00:00,2017-03-28 19:23:58+00:00,215,215
7606536,Control,2017-04-11 08:40:19+00:00,2017-04-11 08:42:05+00:00,106,106
1194245,Control,2017-04-19 08:46:03+00:00,2017-04-19 08:51:17+00:00,314,314
312984,Control,2017-04-24 09:50:01+00:00,2017-04-24 09:55:41+00:00,340,340
2839247,Control,2017-04-27 13:43:39+00:00,2017-04-27 14:08:41+00:00,1502,1502
3206726,Control,2017-04-26 16:58:55+00:00,2017-05-15 09:16:48+00:00,1613873,1557
5732744,Control,2017-04-15 22:11:26+00:00,2017-04-15 22:18:24+00:00,418,418
5363445,Control,2017-04-05 11:41:48+00:00,2017-04-05 11:54:43+00:00,775,775
6981798,Control,2017-04-04 19:40:55+00:00,2017-04-04 19:44:30+00:00,215,215
8031718,Control,2017-03-29 11:34:06+00:00,2017-03-29 11:36:41+00:00,155,155
1262291,Control,2017-04-16 10:23:29+00:00,2017-06-01 15:58:40+00:00,3994511,1048
3861702,Control,2017-04-06 21:45:54+00:00,2017-04-06 21:50:31+00:00,277,277
4608580,Control,2017-03-30 15:05:27+00:00,2017-03-30 15:12:11+00:00,404,404
9534176,Control,2017-04-08 21:36:42+00:00,2017-04-08 21:39:19+00:00,157,157
7460349,Control,2017-04-02 20:26:54+00:00,2017-04-02 20:31:57+00:00,303,303
8501430,Control,2017-04-10 21:40:37+00:00,2017-04-10 21:44:08+00:00,211,211
7804581,Control,2017-03-29 11:32:14+00:00,2017-03-29 11:35:31+00:00,197,197
8095423,Control,2017-04-06 15:17:23+00:00,2017-04-06 15:23:06+00:00,343,343
9112089,Control,2017-03-29 21:47:10+00:00,2017-03-29 21:50:33+00:00,203,203
7887156,Control,2017-03-29 19:48:05+00:00,2017-04-27 14:21:44+00:00,2486019,457
3825646,Control,2017-04-19 20:35:26+00:00,2017-04-19 21:02:03+00:00,1597,1597
6662941,Control,2017-04-05 14:08:22+00:00,2017-06-05 16:09:59+00:00,5277697,266
625038,Control,2017-03-22 16:06:06+00:00,2017-04-05 17:56:49+00:00,1216243,1076
2502567,Control,2017-04-12 11:44:18+00:00,2017-04-18 17:01:25+00:00,537427,276
8117339,Control,2017-04-19 11:06:40+00:00,2017-04-19 11:09:50+00:00,190,190
2570257,Control,2017-04-19 09:18:45+00:00,2017-06-07 10:13:49+00:00,4236904,230
9624621,Control,2017-03-31 15:55:08+00:00,2017-03-31 15:58:32+00:00,204,204
5520127,Control,2017-04-18 23:31:20+00:00,2017-04-18 23:34:30+00:00,190,190
8360249,Control,2017-03-29 15:59:10+00:00,2017-03-29 16:03:48+00:00,278,278
4825054,Control,2017-04-06 00:01:57+00:00,2017-04-19 15:59:04+00:00,1180627,620
1011972,Control,2017-04-05 10:18:49+00:00,2017-04-05 10:30:08+00:00,679,679
6559023,Control,2017-04-16 23:12:20+00:00,2017-04-17 11:33:10+00:00,44450,975
1255014,Control,2017-03-29 11:29:42+00:00,2017-03-29 11:32:44+00:00,182,182
3314416,Control,2017-04-04 15:15:00+00:00,2017-04-04 15:19:53+00:00,293,293
8550901,Control,2017-04-15 09:05:28+00:00,2017-04-15 09:10:13+00:00,285,285
6586655,Control,2017-04-15 16:09:11+00:00,2017-04-15 16:26:16+00:00,1025,1025
435580,Control,2017-03-31 10:00:11+00:00,2017-03-31 10:19:13+00:00,1142,1142
4052287,Control,2017-04-10 13:11:08+00:00,2017-04-10 13:14:45+00:00,217,217
8512863,Control,2017-04-12 18:48:09+00:00,2017-04-12 18:57:26+00:00,557,557
9749944,Control,2017-03-29 12:19:25+00:00,2017-03-29 12:30:06+00:00,641,641
1790923,Control,2017-03-29 11:09:34+00:00,2017-03-29 11:13:12+00:00,218,218
6097361,Control,2017-04-17 12:49:27+00:00,2017-04-17 12:58:43+00:00,556,556
3976933,Control,2017-04-23 13:36:01+00:00,2017-04-23 13:37:37+00:00,96,96
8627399,Control,2017-04-02 10:12:28+00:00,2017-04-02 10:32:16+00:00,1188,1188
5569364,Control,2017-04-05 12:47:09+00:00,2017-04-05 12:49:27+00:00,138,138
7977593,Control,2017-04-01 13:43:11+00:00,2017-06-12 09:56:59+00:00,6207228,2251
7303592,Control,2017-04-12 13:02:45+00:00,2017-04-12 13:33:09+00:00,1824,1824
1033888,Control,2017-04-02 14:26:38+00:00,2017-04-02 14:40:34+00:00,836,836
9382137,Control,2017-03-29 21:35:57+00:00,2017-03-29 21:39:14+00:00,197,197
1296904,Control,2017-04-05 12:47:16+00:00,2017-04-05 12:54:05+00:00,409,409
4313319,Control,2017-03-29 14:28:44+00:00,2017-03-29 14:33:54+00:00,310,310
542563,Control,2017-04-04 21:51:16+00:00,2017-04-04 21:52:36+00:00,80,80
6410961,Control,2017-04-04 08:32:37+00:00,2017-04-04 08:38:44+00:00,367,367
3050600,Control,2017-04-12 16:42:01+00:00,2017-04-12 16:45:09+00:00,188,188
8156741,Control,2017-04-21 23:05:28+00:00,2017-05-26 17:48:58+00:00,3005010,213
5033489,Control,2017-04-28 21:11:40+00:00,2017-04-28 21:14:03+00:00,143,143
2983878,Control,2017-04-22 19:15:37+00:00,2017-04-22 19:44:32+00:00,1735,1735
3461541,Control,2017-04-03 17:31:03+00:00,2017-04-03 17:33:15+00:00,132,132
6434694,Control,2017-04-01 11:36:21+00:00,2017-04-01 11:38:47+00:00,146,146
5171763,Control,2017-04-03 16:48:02+00:00,2017-04-03 16:55:34+00:00,452,452
3944371,Control,2017-04-17 00:51:30+00:00,2017-04-17 01:19:41+00:00,1691,1691
2722950,Control,2017-04-12 12:39:19+00:00,2017-04-12 12:44:27+00:00,308,308
3009581,Control,2017-04-06 14:46:50+00:00,2017-04-13 16:58:31+00:00,612701,254
7218675,Control,2017-04-06 07:03:52+00:00,2017-06-05 08:14:33+00:00,5188241,253
9058579,Control,2017-04-14 17:50:15+00:00,2017-04-14 17:56:42+00:00,387,387
3010914,Control,2017-04-15 19:46:56+00:00,2017-04-15 19:53:38+00:00,402,402
7068149,Control,2017-04-08 20:04:03+00:00,2017-04-17 18:44:23+00:00,772820,545
4519160,Control,2017-04-16 11:35:38+00:00,2017-06-05 09:45:09+00:00,4313371,295
7429772,Control,2017-04-12 18:21:35+00:00,2017-05-21 14:30:14+00:00,3355719,96
3956597,Control,2017-03-29 13:42:07+00:00,2017-03-29 13:47:36+00:00,329,329
3052488,Control,2017-03-29 13:37:50+00:00,2017-03-29 13:44:55+00:00,425,425
8758402,Control,2017-03-30 12:15:04+00:00,2017-04-12 12:21:54+00:00,1123610,599
9664272,Control,2017-03-23 10:06:44+00:00,2017-03-23 10:09:37+00:00,173,173
6905463,Control,2017-03-29 14:59:05+00:00,2017-03-29 15:01:07+00:00,122,122
1144410,Control,2017-04-02 13:37:39+00:00,2017-04-02 13:41:35+00:00,236,236
6030486,Control,2017-04-01 23:26:23+00:00,2017-04-25 14:13:28+00:00,2040425,792
2853115,Control,2017-03-31 08:55:00+00:00,2017-03-31 08:57:08+00:00,128,128
8968789,Control,2017-04-01 20:17:09+00:00,2017-04-01 20:28:38+00:00,689,689
3291778,Control,2017-04-10 18:01:09+00:00,2017-06-08 10:30:20+00:00,5070551,125
4780398,Control,2017-04-06 14:51:32+00:00,2017-04-06 14:59:54+00:00,502,502
2152873,Control,2017-03-29 14:48:57+00:00,2017-03-29 14:51:32+00:00,155,155
9129878,Control,2017-03-29 17:20:21+00:00,2017-03-29 17:24:56+00:00,275,275
4023943,Control,2017-03-29 17:52:29+00:00,2017-03-29 17:57:01+00:00,272,272
464620,Control,2017-04-15 17:18:59+00:00,2017-04-15 17:20:40+00:00,101,101
1596808,Control,2017-04-08 11:29:30+00:00,2017-04-08 11:34:33+00:00,303,303
6793640,Control,2017-04-15 15:06:18+00:00,2017-04-16 15:00:54+00:00,86076,1110
409450,Control,2017-04-05 15:22:46+00:00,2017-04-05 15:30:52+00:00,486,486
6911162,Control,2017-03-29 11:59:59+00:00,2017-06-13 10:39:13+00:00,6561554,2220
2035117,Control,2017-03-29 13:40:33+00:00,2017-03-29 13:42:40+00:00,127,127
8462755,Control,2017-03-29 23:38:10+00:00,2017-04-29 07:42:41+00:00,2621071,1644
766467,Control,2017-03-29 11:15:44+00:00,2017-03-29 11:21:20+00:00,336,336
7829434,Control,2017-04-09 12:07:14+00:00,2017-04-09 12:12:09+00:00,295,295
864721,Control,2017-03-29 23:35:05+00:00,2017-03-29 23:39:53+00:00,288,288
3216999,Control,2017-04-23 16:17:25+00:00,2017-04-23 16:24:04+00:00,399,399
934442,Control,2017-03-29 22:55:13+00:00,2017-03-29 22:59:24+00:00,251,251
4363111,Control,2017-03-30 12:12:35+00:00,2017-03-30 12:15:20+00:00,165,165
9340301,Control,2017-03-30 13:38:59+00:00,2017-03-30 13:44:28+00:00,329,329
9573768,Control,2017-04-05 14:07:31+00:00,2017-04-05 14:12:20+00:00,289,289
7471769,Control,2017-04-15 23:34:56+00:00,2017-04-15 23:50:49+00:00,953,953
65845,Control,2017-04-02 18:00:07+00:00,2017-04-02 18:13:30+00:00,803,803
5457890,Control,2017-03-28 22:09:11+00:00,2017-03-28 22:13:11+00:00,240,240
180404,Control,2017-04-05 11:59:28+00:00,2017-04-05 12:02:22+00:00,174,174
2622312,Control,2017-04-12 13:05:21+00:00,2017-04-12 13:16:01+00:00,640,640
6061376,Control,2017-04-16 21:42:09+00:00,2017-04-16 21:52:10+00:00,601,601
6282795,Control,2017-04-01 13:08:03+00:00,2017-04-01 13:09:24+00:00,81,81
6324067,Control,2017-03-30 16:51:36+00:00,2017-03-30 16:55:00+00:00,204,204
331379,Control,2017-03-30 08:20:36+00:00,2017-04-17 15:45:19+00:00,1581883,836
3495059,Control,2017-04-19 11:58:32+00:00,2017-04-19 12:09:01+00:00,629,629
7688646,Control,2017-04-15 15:36:30+00:00,2017-04-15 15:39:42+00:00,192,192
3531620,Control,2017-04-16 16:25:20+00:00,2017-04-16 16:27:38+00:00,138,138
7283635,Control,2017-04-16 16:23:57+00:00,2017-04-16 16:27:23+00:00,206,206
7680107,Control,2017-04-04 14:29:31+00:00,2017-06-16 05:23:16+00:00,6274425,7056
2133839,Control,2017-03-29 12:26:41+00:00,2017-04-07 11:14:59+00:00,773298,182
3016724,Control,2017-03-29 14:14:03+00:00,2017-03-29 14:22:30+00:00,507,507
161491,Control,2017-04-12 14:58:19+00:00,2017-04-12 15:14:29+00:00,970,503
6106468,Control,2017-04-04 07:27:42+00:00,2017-04-04 07:41:24+00:00,822,822
3239523,Control,2017-04-12 22:13:25+00:00,2017-05-12 21:05:12+00:00,2587907,348
5322608,Control,2017-04-12 12:40:31+00:00,2017-04-12 12:43:01+00:00,150,150
9128593,Control,2017-04-12 12:23:58+00:00,2017-04-12 12:28:35+00:00,277,277
4706669,Control,2017-04-06 05:55:37+00:00,2017-04-11 13:23:11+00:00,458854,443
6431498,Control,2017-04-13 13:07:21+00:00,2017-04-13 13:15:37+00:00,496,496
5841499,Control,2017-04-09 12:11:17+00:00,2017-04-09 12:12:44+00:00,87,87
3703282,Control,2017-03-29 16:02:20+00:00,2017-03-29 16:04:55+00:00,155,155
451443,Control,2017-04-18 18:57:10+00:00,2017-04-18 19:09:58+00:00,768,768
8463084,Control,2017-04-13 15:07:00+00:00,2017-04-13 15:10:54+00:00,234,234
3836344,Control,2017-04-13 08:00:29+00:00,2017-04-13 08:03:08+00:00,159,159
3669611,Control,2017-03-29 17:59:40+00:00,2017-03-29 18:08:13+00:00,513,513
8753196,Control,2017-04-20 13:35:55+00:00,2017-04-20 13:39:32+00:00,217,217
6407208,Control,2017-04-19 02:00:35+00:00,2017-04-19 02:04:12+00:00,217,217
4087981,Control,2017-04-07 08:42:58+00:00,2017-04-07 08:45:04+00:00,126,126
1324064,Control,2017-04-07 07:47:16+00:00,2017-04-07 07:53:28+00:00,372,372
637858,Control,2017-03-31 01:54:00+00:00,2017-03-31 01:57:40+00:00,220,220
9603341,Control,2017-04-10 20:43:26+00:00,2017-04-22 12:55:18+00:00,1008712,263
3418762,Control,2017-03-29 12:17:48+00:00,2017-03-29 12:23:33+00:00,345,345
2353193,Control,2017-04-11 06:35:01+00:00,2017-04-11 07:19:36+00:00,2675,270
4917803,Control,2017-03-29 18:22:30+00:00,2017-03-29 18:37:38+00:00,908,908
5715241,Control,2017-03-29 11:29:31+00:00,2017-04-16 12:12:51+00:00,1557800,1594
8696157,Control,2017-04-05 11:08:57+00:00,2017-04-05 12:06:36+00:00,3459,126
9612831,Control,2017-04-07 21:17:53+00:00,2017-04-17 00:27:29+00:00,788976,832
233601,Control,2017-04-12 09:50:44+00:00,2017-04-12 09:52:45+00:00,121,121
4744245,Control,2017-03-29 11:25:42+00:00,2017-03-29 11:36:05+00:00,623,535
174806,Control,2017-04-09 21:33:11+00:00,2017-04-09 21:36:44+00:00,213,213
5919352,Control,2017-03-30 09:54:57+00:00,2017-03-30 10:08:59+00:00,842,633
37408,Control,2017-04-19 12:16:00+00:00,2017-04-19 12:21:35+00:00,335,335
269636,Control,2017-04-23 12:43:45+00:00,2017-04-23 12:48:12+00:00,267,267
2825830,Control,2017-04-15 16:22:22+00:00,2017-04-15 16:30:07+00:00,465,465
9740561,Control,2017-04-14 08:24:11+00:00,2017-04-14 08:26:57+00:00,166,166
6379127,Control,2017-04-05 17:05:49+00:00,2017-04-05 17:11:56+00:00,367,367
6019257,Control,2017-03-22 14:12:03+00:00,2017-04-01 20:41:12+00:00,887349,231
9750016,Control,2017-04-09 13:03:02+00:00,2017-04-09 13:08:50+00:00,348,348
6267076,Control,2017-03-29 11:18:50+00:00,2017-03-29 11:20:49+00:00,119,119
6741529,Control,2017-03-29 11:08:31+00:00,2017-03-29 11:10:07+00:00,96,96
196053,Control,2017-03-29 11:08:02+00:00,2017-03-29 11:10:29+00:00,147,147
2968554,Control,2017-04-13 08:47:50+00:00,2017-04-13 08:49:13+00:00,83,83
31502,Control,2017-03-30 20:54:26+00:00,2017-03-30 21:05:02+00:00,636,636
2563749,Control,2017-04-29 15:08:35+00:00,2017-04-29 15:10:49+00:00,134,134
8254513,Control,2017-03-29 22:56:06+00:00,2017-03-29 23:02:30+00:00,384,384
775176,Control,2017-04-03 15:22:17+00:00,2017-04-03 15:26:21+00:00,244,244
329631,Control,2017-04-05 15:25:12+00:00,2017-04-05 15:27:44+00:00,152,152
4542043,Control,2017-04-05 14:05:16+00:00,2017-04-05 14:15:11+00:00,595,595
7957690,Control,2017-04-13 12:15:36+00:00,2017-04-18 13:03:51+00:00,434895,1726
