client_id,variation,start,step_1,step_2,step_3,confirm
41652,Control,1,1,0,0,0
41924,Test,1,1,1,0,0
42082,Control,1,1,1,1,1
42296,Control,1,1,0,0,0
42349,Test,1,1,1,1,1
42725,Test,1,1,1,1,1
43494,Control,1,1,1,0,0
43645,Test,1,1,1,1,1
43766,Control,1,1,0,0,0
44060,Control,1,1,1,1,1
44216,Control,1,1,1,1,1
44705,Test,1,1,1,1,1
44860,Control,1,1,1,1,1
44932,Test,1,1,1,1,1
44995,Test,1,1,0,0,0
45131,Test,1,1,1,1,1
45232,Test,1,1,1,1,1
45485,Test,1,1,1,1,1
45510,Test,1,1,1,1,1
46223,Control,1,1,1,1,0
46790,Test,1,1,1,0,0
46934,Test,1,0,0,0,0
47402,Control,1,1,1,0,0
47571,Control,1,1,1,1,1
47860,Test,1,1,1,1,0
47933,Control,1,1,1,1,1
48241,Control,1,1,1,0,0
48424,Control,1,1,1,1,0
48431,Control,1,1,1,1,1
48448,Test,1,1,1,1,1
48724,Test,1,1,1,1,1
49412,Control,1,1,1,1,1
49450,Control,1,1,1,1,1
49709,Test,1,1,1,1,1
49998,Test,1,1,0,0,0
50053,Test,1,1,1,1,1
50090,Test,1,1,1,1,1
50185,Control,1,1,1,1,1
50271,Control,1,1,1,1,1
50325,Test,1,1,1,1,1
50599,Test,1,0,0,0,0
50643,Control,1,1,1,1,1
50692,Control,1,0,0,0,0
51493,Test,1,1,1,1,1
51526,Test,1,1,1,1,1
51706,Control,1,1,1,1,1
51814,Control,1,1,1,1,1
51902,Control,1,1,1,1,1
52111,Control,1,1,1,1,1
52309,Test,1,1,1,0,0
52384,Control,1,0,0,0,0
52456,Control,1,1,1,1,1
52461,Control,1,1,1,1,1
52743,Test,1,1,1,1,1
52765,Control,1,1,1,1,1
53094,Control,1,1,1,1,1
53123,Control,1,1,1,1,1
53126,Control,1,1,1,1,1
53169,Control,1,0,0,0,0
53396,Test,1,1,1,1,1
53990,Control,1,1,1,1,0
54231,Test,1,1,1,1,1
54291,Control,1,1,1,1,1
54363,Control,1,1,1,1,1
54477,Control,1,0,0,0,0
54893,Test,1,1,1,1,1
55059,Test,1,1,1,1,1
55265,Test,1,1,1,1,1
55333,Test,1,1,1,1,1
55448,Control,1,1,1,1,1
55951,Test,1,0,0,0,0
56294,Test,1,1,1,1,1
56529,Control,1,1,1,1,1
56570,Test,1,1,1,1,0
56782,Control,1,1,1,0,0
56923,Test,1,1,1,1,1
58001,Control,1,1,1,1,1
58194,Test,1,1,1,1,1
58196,Control,1,1,1,1,1
58456,Control,1,1,1,1,1
58589,Control,1,1,1,1,1
58676,Control,1,1,1,1,1
58867,Test,1,1,1,1,1
58917,Control,1,1,1,1,1
58962,Test,1,1,1,1,1
59089,Control,1,1,1,1,1
59152,Test,1,1,1,1,1
59360,Test,1,1,1,1,1
59605,Control,1,1,0,0,0
59782,Control,1,1,1,1,1
59802,Test,1,1,1,1,1
59860,Control,1,1,1,1,1
60101,Test,1,1,1,1,1
60483,Test,1,1,1,1,1
60802,Test,1,1,1,1,0
60958,Test,1,0,0,0,0
61007,Test,1,0,0,0,0
61487,Test,1,1,1,1,1
61650,Test,1,1,1,1,1
61961,Test,1,1,1,1,1
62058,Control,1,0,0,0,0
62284,Test,1,1,1,1,1
62498,Control,1,0,0,0,0
62503,Control,1,1,1,1,0
62754,Test,1,1,1,1,1
62791,Test,1,1,1,1,1
62805,Test,1,1,1,1,1
62837,Control,1,1,0,0,0
63001,Control,1,1,1,0,0
63377,Control,1,1,1,1,1
63507,Test,1,1,1,1,1
63796,Test,1,1,1,1,1
63879,Test,1,1,1,1,1
63955,Test,1,1,1,1,1
64020,Control,1,1,1,1,1
64058,Test,1,1,1,1,1
64635,Test,0,0,0,0,1
64871,Control,1,1,1,1,1
64885,Test,1,1,0,0,0
64964,Control,1,1,1,1,1
65221,Test,1,1,1,1,1
65716,Control,1,1,1,1,1
65845,Control,1,1,1,1,1
66160,Test,1,1,1,1,1
66169,Control,1,1,1,1,1
66539,Test,1,1,1,1,1
66543,Control,1,0,0,0,0
66930,Test,1,1,1,1,0
67390,Test,1,1,1,1,1
67452,Test,1,1,1,1,1
67845,Test,1,1,0,0,0
67925,Test,1,1,1,1,1
68116,Control,1,0,0,0,0
68170,Control,1,0,0,0,0
68276,Test,1,1,1,1,1
68830,Control,1,1,1,1,1
68854,Control,1,1,1,1,1
68884,Test,1,1,1,1,0
68886,Test,1,1,1,1,1
68963,Control,1,1,1,1,1
69255,Control,1,0,0,1,1
69568,Test,1,1,1,1,0
69591,Test,1,0,0,0,0
69598,Control,1,1,1,1,1
70225,Control,1,1,1,1,1
70576,Test,1,1,1,1,1
70863,Test,1,0,0,0,0
71159,Test,1,0,0,0,0
71296,Control,1,1,1,1,1
71476,Control,1,0,0,0,0
71626,Control,1,1,1,1,0
72074,Test,1,1,1,1,1
72221,Control,1,1,1,1,1
72388,Test,1,1,1,1,0
72395,Test,1,1,1,1,1
72915,Test,1,1,1,1,1
72916,Test,1,1,1,1,1
72988,Test,1,0,0,0,0
73331,Control,1,1,1,1,1
73335,Control,1,1,1,1,1
73453,Control,1,1,1,1,1
73615,Test,1,1,1,1,1
73648,Test,1,1,1,1,1
73910,Control,1,1,1,1,1
74169,Control,1,1,1,1,1
74564,Test,1,1,1,1,0
74844,Test,1,1,1,1,0
74976,Test,1,1,1,1,1
75033,Test,1,1,1,1,1
75381,Control,1,1,0,0,0
75490,Test,1,1,1,1,1
75642,Control,1,1,1,1,1
76424,Control,1,1,1,1,1
76429,Test,1,1,1,1,1
76481,Test,1,1,1,1,1
76635,Test,1,1,1,0,0
76775,Test,1,1,0,0,0
76776,Control,1,1,1,1,1
77071,Control,1,1,1,1,1
77276,Test,1,1,1,1,1
77513,Test,1,1,1,1,1
77651,Test,0,0,0,0,1
77933,Test,1,1,1,1,1
78720,Test,1,0,0,0,0
78728,Control,1,1,1,1,0
78779,Test,1,0,0,0,0
78917,Control,1,1,0,0,0
79127,Control,1,1,1,1,1
79229,Control,1,1,1,0,0
79452,Test,1,1,1,1,1
79571,Control,1,1,1,1,1
79669,Test,1,1,0,0,0
79679,Control,1,1,1,1,1
79819,Control,1,0,0,0,0
79897,Test,1,1,1,1,1
80006,Test,1,1,1,1,1
80126,Test,1,1,1,1,1
80127,Control,1,1,1,1,1
80241,Control,1,1,0,0,0
80275,Test,1,1,1,1,1
80479,Test,1,1,1,1,1
80559,Control,1,1,1,1,1
80801,Test,1,1,1,1,0
80915,Control,1,1,1,1,1
81102,Control,1,1,1,1,1
81119,Test,1,1,1,0,0
81303,Test,1,1,1,1,1
81601,Control,1,1,1,1,1
81720,Test,1,1,1,1,1
81816,Control,1,1,1,0,0
81976,Control,1,1,1,1,1
82206,Test,1,1,1,1,1
82376,Control,1,1,1,1,1
82560,Test,1,0,0,0,0
82566,Control,1,1,1,1,1
82712,Control,1,1,1,1,0
82723,Control,1,1,1,1,0
82772,Test,1,1,1,1,1
82869,Control,1,1,1,1,1
83158,Control,1,1,1,1,1
83447,Control,1,1,1,1,1
83507,Test,1,1,1,1,1
83585,Test,1,1,1,1,1
83683,Control,1,0,0,0,0
83795,Test,1,1,1,1,1
84108,Control,1,1,1,1,1
84464,Test,1,1,1,1,1
84480,Control,1,1,1,1,1
84596,Test,1,0,0,0,0
84624,Control,1,1,1,1,1
84658,Test,1,1,1,1,1
84976,Test,1,1,1,1,1
85097,Control,1,1,0,0,0
85286,Control,1,1,0,0,0
85515,Control,1,1,1,1,0
85793,Control,1,1,1,1,1
86035,Test,1,1,1,1,1
86499,Control,1,1,1,1,1
86616,Control,1,1,1,1,1
86699,Control,1,1,1,1,1
86780,Test,1,1,1,0,0
86877,Test,1,1,1,1,1
87162,Control,1,1,1,1,1
87218,Control,1,1,1,1,1
87300,Control,1,1,1,1,1
87424,Test,1,1,1,1,1
87449,Test,1,1,1,1,1
87915,Test,1,1,1,0,0
88378,Control,1,1,0,0,0
88723,Control,1,1,1,1,1
88759,Control,1,1,1,1,1
88986,Test,1,1,0,0,0
89039,Test,1,1,1,1,1
89052,Control,1,1,1,1,1
89108,Control,0,0,1,1,1
89116,Control,1,1,1,1,1
89257,Test,1,0,0,0,0
89604,Test,1,1,1,1,1
89645,Control,1,1,1,0,0
89693,Test,1,1,1,1,1
89812,Test,1,0,0,0,0
89959,Test,1,1,1,1,1
90324,Test,1,1,1,1,1
90360,Test,1,1,1,1,1
90383,Test,1,0,0,0,0
90596,Control,1,1,1,1,1
91110,Test,1,1,1,1,1
91254,Test,1,1,1,1,1
91443,Test,1,1,1,1,1
91633,Test,1,1,1,1,1
92066,Test,1,1,1,1,1
92137,Test,1,1,1,1,1
92665,Test,1,1,1,1,0
92808,Control,1,1,1,1,1
92864,Test,1,1,0,0,0
93127,Control,1,1,1,1,1
93137,Test,1,1,1,1,1
93370,Test,1,0,0,0,0
93480,Test,1,1,1,1,1
93610,Test,1,1,1,1,1
93751,Test,1,1,1,1,0
93870,Test,1,1,1,1,1
93915,Test,1,1,1,1,1
94012,Control,0,0,0,0,1
94234,Test,1,1,1,1,0
94510,Control,1,1,1,1,0
94552,Test,1,1,1,1,0
94662,Test,1,1,1,1,0
94767,Test,1,1,1,1,1
94778,Control,1,1,1,1,1
94914,Test,1,0,0,0,0
95035,Test,1,1,1,1,1
95199,Test,1,1,1,1,1
95453,Test,1,1,1,1,1
96190,Test,1,1,1,1,1
96548,Control,1,1,1,0,0
96787,Test,1,1,1,1,1
96845,Control,1,1,0,0,0
97147,Test,1,1,1,0,0
97170,Control,1,1,0,0,0
97322,Control,1,0,0,0,0
97424,Test,1,1,1,1,1
97590,Test,1,1,1,1,1
97723,Control,1,1,1,1,1
97966,Control,1,1,1,1,0
98248,Test,1,1,0,0,0
98337,Test,1,1,1,1,1
98860,Control,1,1,1,1,1
99149,Control,1,1,1,1,1
99208,Test,1,1,1,1,1
99811,Control,1,1,1,1,1
100118,Test,1,0,0,0,0
100250,Test,1,1,1,1,1
100503,Control,1,1,1,1,1
100888,Control,1,1,1,1,1
100940,Test,1,1,1,0,0
101143,Control,1,0,0,0,0
101220,Test,1,0,0,0,0
101246,Control,1,0,0,0,0
101818,Control,1,1,1,1,1
102859,Control,1,0,0,0,0
102884,Test,1,1,1,0,0
103515,Control,1,1,1,1,1
103622,Test,1,1,1,1,1
103627,Test,1,1,1,1,1
103669,Test,1,1,1,1,1
104190,Test,1,1,0,0,0
104328,Control,1,1,1,1,1
104643,Test,1,0,0,0,0
104781,Control,1,1,1,1,1
104884,Control,1,1,1,1,1
104972,Test,1,1,1,1,1
105007,Control,1,0,0,0,0
105026,Control,1,1,1,1,1
105357,Control,1,1,1,1,1
105360,Control,1,1,1,1,1
105623,Control,1,1,1,1,1
106102,Test,1,0,0,0,0
106137,Test,1,1,0,0,0
106457,Control,1,1,1,0,0
106501,Test,1,1,1,1,1
108335,Control,1,1,1,1,0
108419,Test,1,1,1,1,1
108438,Control,1,1,1,1,1
108892,Test,1,1,1,1,1
109175,Control,1,1,1,1,0
109413,Control,1,1,0,0,0
109465,Control,1,1,1,1,1
109662,Test,1,1,1,1,1
109859,Control,1,1,1,1,1
109932,Control,1,1,1,1,0
110028,Test,1,1,1,1,1
110212,Test,1,1,1,1,1
110288,Test,1,0,0,0,0
110772,Test,1,1,1,1,1
110890,Control,1,1,0,0,0
111012,Control,1,1,1,1,1
111162,Test,1,1,0,0,0
111304,Control,1,1,1,1,1
111477,Control,1,1,0,0,0
112128,Control,1,1,1,1,1
112766,Test,1,1,1,1,1
113597,Test,1,1,0,0,0
113852,Test,1,1,1,1,1
113903,Test,1,1,0,0,0
113951,Test,1,1,1,1,1
113964,Test,1,0,0,0,0
114459,Control,1,1,1,1,0
114541,Control,1,1,1,1,1
114542,Test,1,1,1,1,1
114566,Control,1,1,1,1,1
114780,Control,1,0,0,0,0
115163,Test,1,1,1,1,1
115570,Test,1,1,1,1,1
115597,Control,1,1,0,0,0
115834,Control,1,1,1,1,0
115839,Test,1,0,0,0,0
115973,Control,1,1,1,1,1
116248,Test,1,1,0,0,0
116345,Control,1,1,1,1,1
116384,Test,1,1,1,1,1
116505,Control,1,0,0,0,0
116682,Control,1,0,0,0,0
116693,Control,1,1,1,1,1
117032,Test,1,1,1,1,1
117276,Test,1,1,1,1,1
117320,Control,0,0,0,0,1
117457,Test,1,1,1,1,1
117520,Test,1,1,1,1,1
117621,Control,1,1,1,1,1
117883,Control,1,0,0,0,0
117916,Test,1,1,1,1,1
117979,Control,1,1,1,1,1
118358,Control,1,1,1,1,1
118415,Control,1,1,1,1,1
118446,Test,1,1,1,1,1
118576,Test,1,1,1,0,0
118723,Control,1,1,1,1,0
118964,Control,1,1,1,1,1
118966,Test,1,1,1,1,1
119006,Test,1,1,1,0,0
119599,Test,1,1,1,0,0
119634,Test,1,1,1,1,1
120089,Test,1,1,1,1,1
120309,Control,1,1,1,1,1
120351,Test,1,1,1,1,1
120660,Test,1,1,1,1,1
120830,Test,1,1,1,1,1
120872,Control,1,1,1,1,1
121029,Test,1,1,1,1,1
121238,Test,1,1,1,1,1
121354,Test,1,1,1,1,1
121536,Test,1,1,1,1,0
121672,Test,1,1,1,1,1
122093,Test,1,1,1,1,0
122493,Control,1,1,1,1,0
122526,Test,1,1,1,1,1
122790,Test,1,1,1,1,1
123141,Control,1,1,1,1,0
123311,Test,1,1,1,1,1
123552,Control,1,1,1,0,0
123853,Test,1,0,0,0,0
124118,Control,1,1,1,1,1
124572,Control,1,1,1,1,1
124614,Test,1,1,1,1,1
124624,Control,1,1,1,1,1
124646,Test,1,1,0,0,0
124916,Control,1,1,1,1,1
125022,Control,1,1,1,1,1
125124,Test,1,1,1,1,0
125273,Control,1,0,0,0,0
125305,Control,1,1,1,1,1
125679,Control,1,1,1,1,1
125750,Test,1,1,1,0,0
126090,Control,1,1,0,0,0
126171,Control,1,1,1,1,1
126259,Test,1,1,1,1,1
126285,Control,1,1,1,1,1
126288,Test,1,1,1,1,1
126309,Control,1,1,1,1,0
126524,Test,1,1,1,1,1
126758,Test,1,1,1,1,1
126759,Control,1,1,1,1,1
126853,Test,1,1,1,1,1
126893,Control,1,0,0,0,0
127331,Test,1,1,1,1,1
127396,Test,1,1,1,1,1
127477,Control,1,1,1,1,0
127825,Test,1,1,1,1,1
127921,Test,1,1,1,1,1
128147,Control,1,1,1,0,0
128230,Test,1,1,1,1,1
128801,Control,1,1,1,1,1
128919,Test,1,1,1,1,1
128983,Control,1,1,1,0,0
129549,Control,1,1,1,1,1
129659,Control,1,1,1,1,1
130031,Control,1,1,1,1,1
130452,Test,1,1,1,1,1
130952,Test,1,1,1,1,1
131064,Control,1,1,0,0,0
131973,Test,1,0,0,0,0
132547,Control,1,1,1,1,0
133096,Test,1,1,1,1,1
133101,Control,1,1,1,1,0
133340,Test,1,1,1,1,0
133394,Test,1,1,1,1,1
133471,Control,1,1,1,1,1
133487,Control,1,1,1,1,0
133522,Control,1,1,1,1,1
133565,Control,1,0,0,0,0
133631,Control,1,1,1,1,1
133742,Test,1,1,1,1,1
133779,Test,1,1,0,0,0
134164,Test,1,0,0,0,0
134207,Control,1,1,1,1,1
134282,Test,1,1,1,1,1
134286,Control,1,1,0,0,0
134582,Control,1,1,1,1,1
134657,Control,1,1,1,1,1
134829,Control,1,1,1,1,1
135199,Control,1,1,1,1,1
135254,Test,1,1,1,1,0
135842,Control,1,1,1,0,0
135917,Test,1,1,1,1,1
135969,Test,1,1,1,1,1
136138,Control,1,1,1,1,1
136237,Control,1,1,1,1,1
136873,Test,1,0,0,0,0
136978,Test,1,1,1,1,1
136986,Control,1,1,0,0,0
137016,Test,1,1,1,1,1
137061,Test,1,1,1,1,1
137412,Test,1,1,1,1,1
137555,Test,1,1,1,1,1
137781,Test,1,1,1,0,0
137816,Test,1,1,1,1,1
137933,Test,1,0,0,0,0
138002,Test,1,1,1,1,1
138093,Control,1,1,1,1,0
138395,Control,1,1,1,1,0
138686,Control,1,1,1,0,0
138741,Test,1,1,1,1,1
138790,Test,1,1,1,1,1
139079,Control,1,1,1,1,1
139808,Test,1,1,1,1,1
139872,Test,1,1,0,0,0
139979,Test,1,1,1,1,1
139996,Test,1,0,0,0,0
140020,Test,1,1,1,1,1
140116,Control,1,1,1,1,1
140488,Control,1,1,1,1,1
140489,Control,1,1,1,1,1
140683,Test,1,1,1,1,1
140690,Control,1,1,1,0,0
141417,Test,1,1,1,1,1
141591,Control,1,1,0,0,0
141602,Control,1,1,1,1,1
141643,Test,1,1,1,1,1
142351,Test,1,1,1,1,0
142579,Control,1,1,1,1,1
142667,Control,1,0,0,0,0
142695,Test,1,0,0,0,0
142725,Control,1,1,1,1,1
143218,Control,1,1,1,1,1
143267,Test,1,1,1,1,1
143271,Test,1,1,1,1,1
143610,Control,1,1,1,1,1
143688,Control,1,1,1,1,1
143691,Control,1,1,1,1,0
144169,Control,1,1,1,1,1
144244,Control,1,1,1,1,1
144678,Control,1,1,1,1,1
144773,Control,1,1,1,1,1
145106,Test,1,1,1,1,1
145810,Test,1,1,1,1,1
146072,Test,1,1,1,1,1
146205,Control,1,1,1,1,1
146317,Control,1,1,1,1,1
146390,Test,1,1,1,1,1
146579,Test,1,1,1,1,1
146603,Control,1,1,1,1,0
147033,Control,1,1,1,1,1
147077,Control,1,1,1,1,1
147316,Control,1,1,1,1,1
147852,Test,0,0,0,1,1
148037,Control,1,1,1,1,1
148076,Control,1,0,0,0,0
148099,Control,1,1,1,1,1
148217,Test,1,1,1,1,1
148347,Test,1,1,1,1,1
148369,Test,1,1,1,1,1
148391,Test,1,1,1,1,1
148445,Control,1,1,1,1,1
148448,Test,1,1,1,1,1
148850,Test,1,1,1,1,1
148954,Control,1,1,1,1,1
149108,Test,1,1,1,1,1
149192,Test,1,1,1,1,0
149265,Test,1,1,0,0,0
149593,Control,1,1,1,0,0
149635,Test,1,1,1,1,0
149685,Control,1,0,0,0,0
150095,Test,1,1,1,1,1
151250,Test,1,1,1,1,0
151444,Control,1,1,1,1,0
151897,Test,1,1,1,1,1
152356,Control,1,0,0,0,0
152661,Test,1,1,1,1,1
153841,Control,1,1,1,1,1
154143,Test,1,1,1,1,1
154147,Test,1,1,1,1,1
154150,Control,1,1,1,1,1
154458,Control,1,1,1,1,0
154640,Control,1,1,1,1,1
154658,Control,1,1,0,0,0
154782,Test,1,1,1,1,0
154809,Test,1,1,1,1,1
155526,Control,1,1,1,1,1
156105,Test,1,1,1,1,1
156894,Control,1,1,0,0,0
156945,Control,1,0,0,0,0
157106,Test,1,1,1,1,1
157209,Test,1,1,1,1,1
157852,Control,1,1,1,1,0
157871,Control,1,1,0,0,0
158047,Test,1,1,1,1,1
158141,Test,1,1,1,1,1
158201,Test,1,1,1,0,0
159268,Control,1,1,1,1,1
159558,Test,1,1,1,1,1
159617,Control,1,1,1,1,1
159687,Test,1,1,1,1,1
159728,Test,1,1,1,0,0
159823,Control,1,1,1,1,1
159875,Test,1,1,1,1,1
159908,Test,1,1,0,0,0
159970,Test,1,1,0,0,0
160085,Control,1,1,1,0,0
160144,Test,1,1,1,1,1
160466,Control,1,1,1,1,1
160616,Control,1,1,1,1,1
160654,Test,1,1,1,1,1
160741,Test,1,1,1,1,1
160938,Control,1,1,0,0,0
161074,Control,1,1,1,1,0
161108,Control,1,1,1,0,0
161127,Control,1,1,1,1,1
161440,Test,1,1,1,1,1
161491,Control,1,1,1,1,1
161771,Test,1,1,1,1,1
161792,Control,1,1,0,0,0
162127,Test,1,1,1,1,1
162388,Test,1,1,1,0,0
162575,Control,1,1,1,1,1
162867,Test,1,0,0,0,0
162894,Test,1,1,1,1,1
163907,Test,1,1,1,1,1
164324,Test,1,1,1,0,0
165301,Control,1,1,1,1,1
165428,Control,1,1,1,1,1
165765,Test,1,1,1,1,1
165890,Control,1,1,1,1,1
165900,Test,1,1,1,1,1
166017,Test,1,1,1,1,1
166154,Test,1,1,1,0,0
166289,Control,1,1,1,1,1
166315,Test,1,1,1,1,1
166702,Control,1,1,1,1,1
166715,Control,1,1,1,1,0
167496,Control,1,1,1,1,0
168266,Test,1,1,1,1,1
168539,Test,1,1,1,1,1
168727,Control,1,1,1,1,1
168940,Control,1,1,1,0,0
168989,Test,1,1,1,1,1
169185,Test,1,1,1,1,1
169560,Test,1,1,1,1,0
169620,Test,1,1,1,1,1
169784,Test,1,1,1,0,0
